"basket_value_vnd","customer_segment","customer_age","service_type","city","payment_method","booking_channel","distance_km_clean","estimated_duration_min","time_period","is_weekend","promo_code_used","discount_amount_vnd","traffic_level","weather_condition"
109000,"Working Professional",60,"GrabFood","Ho Chi Minh City","Card","Mobile App",4.6,27.3,"Evening","Weekend","None",0,"High","Rain"
273000,"Working Professional",43,"GrabFood","Hai Phong","Card","Mobile App",0.94,2.9,"Night","Weekend","WELCOME",1000,"Low","Clear"
164000,"Tourist",22,"GrabFood","Ho Chi Minh City","Cash","Mobile App",1.66,9,"Evening","Weekend","FOOD20",4000,"Medium","Heavy Rain"
336000,"Frequent User",35,"GrabFood","Ho Chi Minh City","Cash","Mobile App",3.41,15.2,"Lunch","Weekday","None",0,"Low","Clear"
383000,"Family",23,"GrabFood","Hai Phong","Corporate Account","Mobile App",5.21,30.1,"Morning","Weekday","WELCOME",5000,"Severe","Cloudy"
386000,"Family",60,"GrabFood","Ho Chi Minh City","Unknown","Mobile App",8.51,39,"Afternoon","Weekend","WELCOME",7000,"Low","Clear"
70000,"Tourist",30,"GrabFood","Hanoi","Cash","Mobile App",4.64,18.2,"Evening","Weekend","None",0,"Severe","Heavy Rain"
272000,"Student",35,"GrabFood","Ho Chi Minh City","Cash","Mobile App",3.5,11.2,"Afternoon","Weekend","None",0,"Low","Cloudy"
440000,"Frequent User",19,"GrabFood","Nha Trang","Cash","Mobile App",5.34,21.8,"Lunch","Weekday","FOOD20",8000,"Low","Rain"
4e+05,"Corporate",44,"GrabMart","Ho Chi Minh City","Cash","Mobile App",3.65,9.8,"Early Morning","Weekday","None",0,"Low","Clear"
327000,"Tourist",48,"GrabFood","Da Nang","Moca Wallet","Web Booking",3.64,20.6,"Early Morning","Weekday","None",0,"Severe","Clear"
385000,"Student",19,"GrabFood","Da Nang","Corporate Account","Mobile App",6.64,23.1,"Morning","Weekday","WEEKEND",4000,"High","Clear"
136000,"Frequent User",26,"GrabFood","Hanoi","Card","Mobile App",2.63,9.4,"Early Morning","Weekend","None",0,"Medium","Clear"
111000,"Frequent User",33,"GrabMart","Ho Chi Minh City","Moca Wallet","Mobile App",1.62,8.7,"Evening","Weekday","WEEKEND",1000,"Medium","Clear"
356000,"Corporate",41,"GrabFood","Hai Phong","Card","Web Booking",1.74,5.3,"Morning","Weekday","RIDE10",1000,"Medium","Cloudy"
267000,"Tourist",37,"GrabFood","Nha Trang","Cash","Mobile App",1.04,5,"Early Morning","Weekday","FOOD20",3000,"Medium","Cloudy"
350000,"Corporate",59,"GrabFood","Da Nang","Card","Mobile App",2.26,6.6,"Morning","Weekday","None",0,"Low","Clear"
203000,"Student",58,"GrabMart","Ho Chi Minh City","Card","Mobile App",6.33,23.2,"Lunch","Weekday","None",0,"Medium","Cloudy"
312000,"Tourist",42,"GrabFood","Da Nang","Card","Mobile App",4.92,22.2,"Early Morning","Weekday","WEEKEND",2000,"Medium","Clear"
334000,"Student",55,"GrabMart","Ho Chi Minh City","Moca Wallet","Mobile App",0.69,2.1,"Morning","Weekend","LOYALTY",1000,"Medium","Clear"
362000,"Tourist",23,"GrabFood","Can Tho","Cash","Mobile App",3.11,12.9,"Early Morning","Weekday","MART15",4000,"Medium","Clear"
379000,"Tourist",52,"GrabMart","Hai Phong","Card","Mobile App",3.92,11.9,"Morning","Weekend","FOOD20",6000,"Low","Clear"
296000,"Working Professional",44,"GrabFood","Ho Chi Minh City","Cash","Mobile App",1.53,5.6,"Evening","Weekday","WELCOME",4000,"Low","Clear"
309000,"Student",28,"GrabFood","Hanoi","Cash","Mobile App",2.85,14.5,"Morning","Weekday","WELCOME",6000,"High","Cloudy"
341000,"Tourist",35,"GrabMart","Hanoi","Moca Wallet","Mobile App",7.69,35.1,"Morning","Weekday","None",0,"Medium","Cloudy"
135000,"Working Professional",18,"GrabMart","Ho Chi Minh City","Card","Mobile App",5.86,22.1,"Early Morning","Weekday","None",0,"Medium","Clear"
289000,"Working Professional",44,"GrabFood","Hanoi","Moca Wallet","Mobile App",1.19,3.9,"Early Morning","Weekday","RIDE10",1000,"Medium","Rain"
396000,"Student",46,"GrabFood","Ho Chi Minh City","Moca Wallet","Mobile App",2.91,9,"Lunch","Weekday","None",0,"Medium","Cloudy"
356000,"Frequent User",31,"GrabFood","Ho Chi Minh City","Moca Wallet","Mobile App",3.51,14.9,"Early Morning","Weekday","None",0,"Medium","Cloudy"
69000,"Working Professional",43,"GrabFood","Ho Chi Minh City","Card","Mobile App",3.12,12.3,"Morning","Weekday","None",0,"Low","Clear"
398000,"Corporate",41,"GrabFood","Bien Hoa","Card","Mobile App",2.59,7,"Afternoon","Weekday","LOYALTY",4000,"Medium","Cloudy"
87000,"Student",59,"GrabFood","Hanoi","Moca Wallet","Mobile App",1.87,8.1,"Morning","Weekday","LOYALTY",2000,"Low","Clear"
247000,"Corporate",31,"GrabMart","Bien Hoa","Card","Mobile App",4.54,24.4,"Night","Weekday","None",0,"Medium","Rain"
106000,"Frequent User",35,"GrabMart","Hue","Card","Mobile App",4.82,13.9,"Afternoon","Weekend","RIDE10",6000,"Medium","Cloudy"
50000,"Corporate",48,"GrabMart","Hanoi","Card","Mobile App",3.2,9.5,"Evening","Weekday","RIDE10",3000,"Medium","Clear"
161000,"Tourist",34,"GrabFood","Hanoi","Cash","Mobile App",5.73,15.7,"Afternoon","Weekday","None",0,"Low","Heavy Rain"
95000,"Working Professional",41,"GrabFood","Ho Chi Minh City","Card","Mobile App",6.51,48.2,"Early Morning","Weekend","LOYALTY",11000,"Severe","Rain"
247000,"Corporate",60,"GrabFood","Da Nang","Moca Wallet","Mobile App",4.39,15.1,"Early Morning","Weekday","None",0,"Low","Clear"
150000,"Corporate",59,"GrabFood","Ho Chi Minh City","Corporate Account","Mobile App",7.43,19.7,"Afternoon","Weekend","None",0,"Low","Clear"
278000,"Student",29,"GrabFood","Hai Phong","Cash","Web Booking",5.4,20.7,"Early Morning","Weekend","None",0,"Low","Cloudy"
257000,"Frequent User",52,"GrabFood","Hanoi","Cash","Mobile App",2.9,10.8,"Night","Weekend","None",0,"Low","Cloudy"
448000,"Family",23,"GrabFood","Ho Chi Minh City","Cash","Mobile App",3.55,13.1,"Morning","Weekday","LOYALTY",6000,"Medium","Clear"
232000,"Frequent User",45,"GrabFood","Ho Chi Minh City","Card","Mobile App",3.22,17.3,"Lunch","Weekend","None",0,"Medium","Clear"
312000,"Tourist",18,"GrabFood","Da Nang","Moca Wallet","Mobile App",0.7,3.4,"Afternoon","Weekday","RIDE10",3000,"Medium","Unknown"
305000,"Family",44,"GrabMart","Hanoi","Cash","Mobile App",3.12,7.2,"Early Morning","Weekday","None",0,"Low","Cloudy"
309000,"Frequent User",36,"GrabFood","Hanoi","Card","Partner App",6.21,32.8,"Morning","Weekend","MART15",4000,"High","Clear"
360000,"Student",52,"GrabMart","Ho Chi Minh City","Cash","Mobile App",0.66,2.1,"Night","Weekday","None",0,"Low","Cloudy"
152000,"Frequent User",24,"GrabMart","Hue","Cash","Mobile App",4.22,18.8,"Lunch","Weekday","None",0,"Low","Clear"
343000,"Working Professional",25,"GrabFood","Hai Phong","Cash","Mobile App",4.11,16.8,"Early Morning","Weekday","None",0,"Low","Cloudy"
243000,"Tourist",52,"GrabFood","Hanoi","Cash","Mobile App",2.79,15.8,"Night","Weekday","WELCOME",2000,"High","Clear"
396000,"Frequent User",35,"GrabFood","Hanoi","Card","Mobile App",1.9,12,"Early Morning","Weekday","LOYALTY",2000,"High","Cloudy"
201000,"Frequent User",38,"GrabFood","Ho Chi Minh City","Card","Mobile App",10.68,54.9,"Evening","Weekday","None",0,"Medium","Rain"
96000,"Frequent User",56,"GrabMart","Da Nang","Moca Wallet","Mobile App",4.44,10.7,"Early Morning","Weekday","RIDE10",5000,"Low","Clear"
101000,"Tourist",23,"GrabMart","Bien Hoa","Moca Wallet","Mobile App",2.6,7.1,"Lunch","Weekday","None",0,"Medium","Clear"
361000,"Corporate",25,"GrabFood","Hanoi","Moca Wallet","Mobile App",3.37,13.4,"Early Morning","Weekday","WELCOME",3000,"Medium","Clear"
75000,"Tourist",59,"GrabFood","Hanoi","Cash","Mobile App",0.72,3.4,"Evening","Weekend","LOYALTY",1000,"Low","Rain"
150000,"Student",35,"GrabFood","Hai Phong","Moca Wallet","Mobile App",1.7,6,"Early Morning","Weekend","None",0,"Medium","Cloudy"
354000,"Student",49,"GrabFood","Ho Chi Minh City","Cash","Mobile App",1.99,7.8,"Night","Weekend","WELCOME",4000,"High","Rain"
225000,"Student",42,"GrabFood","Da Nang","Moca Wallet","Mobile App",3.31,9.8,"Lunch","Weekend","None",0,"Low","Clear"
216000,"Corporate",41,"GrabFood","Da Nang","Card","Mobile App",1.61,7.9,"Early Morning","Weekend","MART15",5000,"High","Clear"
51000,"Working Professional",26,"GrabFood","Hue","Card","Mobile App",1.64,7,"Early Morning","Weekday","RIDE10",3000,"Severe","Clear"
357000,"Working Professional",38,"GrabFood","Ho Chi Minh City","Cash","Mobile App",3.12,5.1,"Morning","Weekday","RIDE10",3000,"Medium","Clear"
178000,"Tourist",22,"GrabMart","Bien Hoa","Moca Wallet","Mobile App",0.9,4.5,"Morning","Weekday","WEEKEND",2000,"Medium","Cloudy"
445000,"Frequent User",21,"GrabFood","Ho Chi Minh City","Moca Wallet","Mobile App",2.4,11.5,"Early Morning","Weekday","WELCOME",4000,"Low","Clear"
117000,"Corporate",33,"GrabFood","Da Nang","Moca Wallet","Mobile App",2.91,15.9,"Lunch","Weekend","RIDE10",3000,"High","Rain"
63000,"Corporate",20,"GrabFood","Ho Chi Minh City","Cash","Mobile App",1.43,4.5,"Morning","Weekday","None",0,"Medium","Clear"
299000,"Student",44,"GrabMart","Hanoi","Moca Wallet","Mobile App",3.57,21.5,"Early Morning","Weekend","None",0,"High","Cloudy"
305000,"Family",46,"GrabFood","Ho Chi Minh City","Cash","Mobile App",1.23,4.6,"Morning","Weekday","WELCOME",2000,"Medium","Clear"
388000,"Working Professional",51,"GrabFood","Ho Chi Minh City","Moca Wallet","Mobile App",1.07,4,"Evening","Weekday","None",0,"Severe","Clear"
419000,"Family",46,"GrabFood","Hai Phong","Card","Mobile App",6.78,15.4,"Early Morning","Weekday","None",0,"Low","Rain"
87000,"Family",41,"GrabFood","Hue","Card","Mobile App",3.41,21,"Morning","Weekday","None",0,"Severe","Clear"
144000,"Frequent User",34,"GrabFood","Can Tho","Cash","Mobile App",2.54,10.7,"Early Morning","Weekday","None",0,"Low","Unknown"
281000,"Frequent User",60,"GrabMart","Can Tho","Card","Mobile App",4.61,16.1,"Morning","Weekday","FOOD20",7000,"Low","Cloudy"
53000,"Working Professional",42,"GrabFood","Ho Chi Minh City","Corporate Account","Mobile App",2.18,10.1,"Early Morning","Weekday","RIDE10",5000,"Medium","Clear"
355000,"Tourist",40,"GrabFood","Hanoi","Card","Mobile App",1.74,7.2,"Night","Weekday","FOOD20",4000,"Low","Clear"
313000,"Corporate",59,"GrabFood","Can Tho","Card","Mobile App",3.76,14.9,"Evening","Weekday","LOYALTY",4000,"Medium","Cloudy"
412000,"Frequent User",45,"GrabMart","Ho Chi Minh City","Moca Wallet","Mobile App",4.16,18.1,"Afternoon","Weekday","None",0,"Medium","Clear"
216000,"Frequent User",44,"GrabFood","Can Tho","Cash","Mobile App",3.23,7.9,"Night","Weekday","None",0,"Low","Heavy Rain"
91000,"Tourist",49,"GrabFood","Ho Chi Minh City","Cash","Mobile App",4.39,23.9,"Early Morning","Weekday","None",0,"High","Cloudy"
411000,"Working Professional",25,"GrabFood","Ho Chi Minh City","Cash","Mobile App",5.43,25.4,"Morning","Weekday","LOYALTY",8000,"Low","Clear"
218000,"Frequent User",20,"GrabFood","Da Nang","Cash","Mobile App",5.73,21.5,"Early Morning","Weekday","None",0,"High","Cloudy"
236000,"Corporate",35,"GrabFood","Hanoi","Cash","Mobile App",5.04,18.2,"Evening","Weekday","None",0,"Severe","Clear"
227000,"Working Professional",58,"GrabFood","Hai Phong","Card","Mobile App",2.75,7.9,"Early Morning","Weekday","None",0,"Low","Rain"
418000,"Frequent User",40,"GrabFood","Hanoi","Cash","Mobile App",2.64,10.1,"Lunch","Weekday","None",0,"Low","Clear"
390000,"Corporate",47,"GrabMart","Bien Hoa","Corporate Account","Mobile App",4.53,19.3,"Afternoon","Weekday","None",0,"Low","Rain"
147000,"Frequent User",22,"GrabFood","Ho Chi Minh City","Cash","Mobile App",3.43,23.7,"Early Morning","Weekend","None",0,"Severe","Cloudy"
162000,"Frequent User",60,"GrabMart","Da Nang","Card","Mobile App",2.5,11.5,"Lunch","Weekday","WELCOME",4000,"Low","Clear"
281000,"Working Professional",25,"GrabFood","Ho Chi Minh City","Corporate Account","Mobile App",3.59,13.8,"Morning","Weekday","None",0,"Low","Clear"
240000,"Tourist",25,"GrabMart","Da Nang","Card","Mobile App",2.23,10.7,"Morning","Weekday","None",0,"High","Cloudy"
97000,"Tourist",45,"GrabFood","Bien Hoa","Moca Wallet","Mobile App",1.69,7.5,"Lunch","Weekday","None",0,"Medium","Clear"
311000,"Student",61,"GrabFood","Nha Trang","Cash","Mobile App",4.26,18.6,"Early Morning","Weekday","None",0,"Low","Cloudy"
348000,"Tourist",23,"GrabFood","Hanoi","Moca Wallet","Mobile App",5.37,17.5,"Afternoon","Weekday","None",0,"Low","Clear"
302000,"Student",41,"GrabMart","Ho Chi Minh City","Cash","Mobile App",6.87,22,"Morning","Weekday","None",0,"Low","Clear"
154000,"Student",21,"GrabFood","Hanoi","Cash","Web Booking",0.87,2.2,"Lunch","Weekend","LOYALTY",2000,"Low","Clear"
79000,"Working Professional",27,"GrabFood","Ho Chi Minh City","Moca Wallet","Partner App",4.34,11.4,"Early Morning","Weekday","RIDE10",3000,"Low","Clear"
84000,"Family",50,"GrabFood","Hanoi","Card","Mobile App",3.59,22,"Evening","Weekend","None",0,"High","Cloudy"
188000,"Student",21,"GrabFood","Ho Chi Minh City","Card","Mobile App",1.38,7.3,"Lunch","Weekday","None",0,"Medium","Clear"
313000,"Frequent User",61,"GrabFood","Bien Hoa","Cash","Mobile App",2.98,12.6,"Evening","Weekday","WEEKEND",3000,"Low","Cloudy"
67000,"Frequent User",19,"GrabFood","Nha Trang","Moca Wallet","Mobile App",1.63,9.1,"Morning","Weekday","RIDE10",2000,"High","Clear"
386000,"Student",54,"GrabFood","Ho Chi Minh City","Moca Wallet","Mobile App",0.72,3.4,"Lunch","Weekday","WELCOME",1000,"Medium","Cloudy"
48000,"Corporate",35,"GrabFood","Nha Trang","Card","Mobile App",2.34,8.6,"Morning","Weekday","FOOD20",2000,"Severe","Rain"
226000,"Tourist",53,"GrabMart","Ho Chi Minh City","Moca Wallet","Mobile App",5.9,23.9,"Morning","Weekend","None",0,"Medium","Cloudy"
366000,"Working Professional",43,"GrabMart","Hai Phong","Card","Web Booking",4.74,22,"Night","Weekday","LOYALTY",8000,"High","Clear"
153000,"Family",41,"GrabFood","Da Nang","Cash","Mobile App",2.57,10.2,"Morning","Weekend","WEEKEND",4000,"Medium","Clear"
207000,"Working Professional",32,"GrabFood","Bien Hoa","Card","Mobile App",1.97,7.6,"Night","Weekday","None",0,"High","Clear"
287000,"Corporate",25,"GrabMart","Can Tho","Card","Mobile App",6.72,27.4,"Early Morning","Weekend","None",0,"Low","Cloudy"
4e+05,"Corporate",39,"GrabFood","Da Nang","Moca Wallet","Mobile App",1.17,3.4,"Morning","Weekend","MART15",1000,"Low","Unknown"
333000,"Student",19,"GrabFood","Can Tho","Corporate Account","Mobile App",3.45,17,"Afternoon","Weekend","None",0,"High","Clear"
255000,"Student",36,"GrabFood","Ho Chi Minh City","Card","Mobile App",6.2,24.3,"Morning","Weekday","RIDE10",6000,"Unknown","Clear"
111000,"Working Professional",46,"GrabMart","Hanoi","Cash","Mobile App",5.67,29.6,"Evening","Weekday","None",0,"Medium","Clear"
437000,"Family",28,"GrabFood","Ho Chi Minh City","Moca Wallet","Mobile App",6.99,20,"Early Morning","Weekday","None",0,"Unknown","Cloudy"
52000,"Student",42,"GrabMart","Hai Phong","Moca Wallet","Mobile App",5.65,23.9,"Early Morning","Weekday","None",0,"Low","Cloudy"
160000,"Corporate",43,"GrabFood","Ho Chi Minh City","Card","Mobile App",1.17,2.9,"Afternoon","Weekday","RIDE10",4000,"Low","Cloudy"
139000,"Tourist",41,"GrabFood","Hai Phong","Moca Wallet","Mobile App",6.04,20.6,"Night","Weekday","None",0,"Medium","Clear"
270000,"Corporate",38,"GrabFood","Da Nang","Corporate Account","Mobile App",2.37,11.8,"Afternoon","Weekday","LOYALTY",4000,"Medium","Clear"
372000,"Tourist",34,"GrabMart","Bien Hoa","Moca Wallet","Mobile App",4.67,20.4,"Afternoon","Weekday","WELCOME",3000,"Low","Cloudy"
205000,"Tourist",18,"GrabMart","Da Nang","Moca Wallet","Mobile App",1.49,5.7,"Morning","Weekday","None",0,"Medium","Clear"
88000,"Student",30,"GrabFood","Can Tho","Moca Wallet","Mobile App",3.11,13.5,"Lunch","Weekend","FOOD20",5000,"Low","Clear"
74000,"Tourist",39,"GrabFood","Ho Chi Minh City","Card","Mobile App",6.82,21.9,"Morning","Weekday","None",0,"Low","Cloudy"
328000,"Corporate",41,"GrabFood","Hanoi","Cash","Mobile App",2.02,9.6,"Early Morning","Weekday","None",0,"Low","Rain"
4e+05,"Working Professional",27,"GrabFood","Ho Chi Minh City","Cash","Web Booking",4.45,29.9,"Evening","Weekday","LOYALTY",9000,"Severe","Clear"
48000,"Student",35,"GrabFood","Hanoi","Moca Wallet","Mobile App",4.48,21.8,"Afternoon","Weekday","None",0,"Medium","Clear"
355000,"Family",49,"GrabFood","Hanoi","Card","Web Booking",5.83,17.7,"Afternoon","Weekday","None",0,"Low","Clear"
55000,"Frequent User",55,"GrabFood","Hanoi","Moca Wallet","Mobile App",4.19,11.2,"Evening","Weekday","None",0,"Medium","Clear"
354000,"Working Professional",33,"GrabFood","Ho Chi Minh City","Cash","Mobile App",4.67,14.1,"Morning","Weekday","None",0,"Medium","Clear"
72000,"Family",36,"GrabFood","Da Nang","Moca Wallet","Mobile App",2.08,5.1,"Early Morning","Weekday","None",0,"Low","Rain"
448000,"Working Professional",22,"GrabFood","Da Nang","Cash","Mobile App",0.53,2.4,"Evening","Weekday","WEEKEND",1000,"Medium","Cloudy"
73000,"Student",24,"GrabMart","Can Tho","Moca Wallet","Web Booking",1.65,4.2,"Early Morning","Weekday","WELCOME",4000,"Low","Clear"
395000,"Frequent User",61,"GrabFood","Bien Hoa","Card","Mobile App",1.89,8.1,"Lunch","Weekday","None",0,"High","Clear"
291000,"Tourist",56,"GrabMart","Ho Chi Minh City","Moca Wallet","Mobile App",5.12,15.2,"Lunch","Weekday","WELCOME",3000,"Low","Clear"
124000,"Frequent User",62,"GrabMart","Hanoi","Corporate Account","Mobile App",4.79,14.5,"Morning","Weekday","None",0,"High","Rain"
57000,"Corporate",51,"GrabMart","Can Tho","Cash","Mobile App",4.84,15.1,"Lunch","Weekday","None",0,"High","Heavy Rain"
180000,"Corporate",38,"GrabFood","Da Nang","Moca Wallet","Mobile App",2.89,13.7,"Lunch","Weekday","None",0,"Low","Cloudy"
136000,"Frequent User",28,"GrabMart","Hue","Card","Mobile App",1,5.8,"Afternoon","Weekday","WEEKEND",3000,"High","Rain"
273000,"Student",24,"GrabFood","Bien Hoa","Corporate Account","Mobile App",1.6,5.4,"Afternoon","Weekday","RIDE10",3000,"Low","Clear"
411000,"Frequent User",60,"GrabFood","Ho Chi Minh City","Card","Mobile App",1.91,11.9,"Early Morning","Weekend","None",0,"High","Clear"
319000,"Frequent User",41,"GrabFood","Bien Hoa","Moca Wallet","Mobile App",1.94,5.4,"Early Morning","Weekday","None",0,"Low","Clear"
132000,"Family",22,"GrabFood","Bien Hoa","Card","Mobile App",7.68,47.5,"Morning","Weekday","None",0,"High","Rain"
102000,"Working Professional",48,"GrabFood","Nha Trang","Moca Wallet","Mobile App",4.5,11.5,"Morning","Weekday","WELCOME",5000,"Medium","Rain"
434000,"Working Professional",35,"GrabMart","Ho Chi Minh City","Card","Mobile App",1.98,10.9,"Afternoon","Weekend","None",0,"High","Clear"
437000,"Corporate",56,"GrabFood","Nha Trang","Cash","Mobile App",3.68,18.2,"Early Morning","Weekend","None",0,"Medium","Cloudy"
241000,"Student",48,"GrabFood","Ho Chi Minh City","Cash","Partner App",2.98,15.3,"Evening","Weekday","MART15",5000,"Medium","Cloudy"
403000,"Family",23,"GrabFood","Can Tho","Moca Wallet","Partner App",4.61,15.4,"Evening","Weekday","WEEKEND",6000,"Low","Clear"
240000,"Frequent User",38,"GrabMart","Da Nang","Moca Wallet","Partner App",4.43,24,"Early Morning","Weekday","LOYALTY",2000,"High","Clear"
401000,"Student",52,"GrabFood","Da Nang","Card","Mobile App",4.28,22.6,"Lunch","Weekend","WEEKEND",6000,"Medium","Clear"
115000,"Working Professional",39,"GrabFood","Hanoi","Cash","Mobile App",10.62,47.6,"Early Morning","Weekend","None",0,"High","Rain"
232000,"Frequent User",22,"GrabFood","Hue","Cash","Mobile App",1.39,6.1,"Morning","Weekday","RIDE10",2000,"Low","Rain"
155000,"Student",58,"GrabFood","Ho Chi Minh City","Cash","Mobile App",3.43,10.8,"Early Morning","Weekday","None",0,"High","Clear"
377000,"Student",50,"GrabFood","Hanoi","Cash","Mobile App",2.45,15.4,"Early Morning","Weekend","MART15",2000,"Severe","Cloudy"
175000,"Family",54,"GrabFood","Hanoi","Cash","Mobile App",3.15,12.8,"Lunch","Weekday","WELCOME",5000,"Low","Rain"
114000,"Working Professional",38,"GrabFood","Ho Chi Minh City","Cash","Mobile App",7,34.5,"Early Morning","Weekend","LOYALTY",4000,"Medium","Cloudy"
359000,"Student",42,"GrabMart","Hai Phong","Moca Wallet","Mobile App",5.05,12.1,"Evening","Weekday","LOYALTY",3000,"Low","Cloudy"
61000,"Tourist",22,"GrabMart","Hai Phong","Cash","Mobile App",9.31,21.6,"Evening","Weekend","None",0,"Low","Clear"
404000,"Working Professional",60,"GrabFood","Hanoi","Cash","Mobile App",2.43,11.6,"Afternoon","Weekday","None",0,"Medium","Cloudy"
438000,"Tourist",23,"GrabFood","Hanoi","Cash","Mobile App",0.95,3.5,"Night","Weekday","WELCOME",2000,"Low","Clear"
212000,"Student",41,"GrabFood","Ho Chi Minh City","Card","Partner App",1.48,7.8,"Evening","Weekday","None",0,"High","Cloudy"
305000,"Working Professional",50,"GrabFood","Ho Chi Minh City","Card","Mobile App",1.76,7.4,"Morning","Weekday","None",0,"Medium","Clear"
367000,"Family",52,"GrabFood","Ho Chi Minh City","Card","Mobile App",4.23,16.7,"Night","Weekend","None",0,"Medium","Clear"
112000,"Working Professional",44,"GrabFood","Ho Chi Minh City","Moca Wallet","Mobile App",3.57,15.1,"Early Morning","Weekday","WEEKEND",5000,"Low","Cloudy"
340000,"Working Professional",21,"GrabFood","Ho Chi Minh City","Moca Wallet","Mobile App",0.69,4.8,"Night","Weekday","WELCOME",2000,"Severe","Rain"
168000,"Frequent User",27,"GrabFood","Ho Chi Minh City","Card","Mobile App",0.62,2.2,"Lunch","Weekend","None",0,"Medium","Cloudy"
136000,"Family",19,"GrabFood","Ho Chi Minh City","Moca Wallet","Mobile App",5.47,26.3,"Afternoon","Weekday","None",0,"Medium","Rain"
196000,"Tourist",28,"GrabMart","Ho Chi Minh City","Corporate Account","Mobile App",2.05,5.2,"Evening","Weekday","None",0,"Medium","Clear"
180000,"Corporate",46,"GrabFood","Ho Chi Minh City","Cash","Mobile App",3.1,17,"Evening","Weekday","WEEKEND",5000,"Severe","Cloudy"
353000,"Family",19,"GrabFood","Hanoi","Cash","Mobile App",3.12,49.5,"Evening","Weekday","FOOD20",15000,"Medium","Clear"
52000,"Tourist",47,"GrabFood","Ho Chi Minh City","Cash","Mobile App",1.26,6,"Early Morning","Weekday","None",0,"Low","Clear"
314000,"Frequent User",29,"GrabFood","Ho Chi Minh City","Card","Mobile App",2.34,11.6,"Afternoon","Weekday","None",0,"Medium","Clear"
94000,"Frequent User",52,"GrabFood","Hanoi","Cash","Mobile App",4.68,29.9,"Lunch","Weekday","None",0,"High","Cloudy"
47000,"Corporate",39,"GrabFood","Ho Chi Minh City","Cash","Mobile App",1.84,7.8,"Evening","Weekday","WEEKEND",2000,"Low","Cloudy"
318000,"Student",28,"GrabFood","Ho Chi Minh City","Card","Mobile App",4.48,22.9,"Early Morning","Weekday","WELCOME",6000,"High","Clear"
73000,"Working Professional",46,"GrabFood","Da Nang","Cash","Mobile App",1.38,6.2,"Early Morning","Weekday","None",0,"High","Clear"
89000,"Working Professional",19,"GrabFood","Hai Phong","Cash","Mobile App",3.12,25.6,"Night","Weekend","None",0,"High","Clear"
218000,"Corporate",22,"GrabFood","Ho Chi Minh City","Card","Mobile App",3.99,17.2,"Morning","Weekday","WEEKEND",2000,"High","Cloudy"
328000,"Corporate",26,"GrabFood","Ho Chi Minh City","Moca Wallet","Mobile App",2.26,6,"Early Morning","Weekday","None",0,"Medium","Clear"
280000,"Family",25,"GrabFood","Nha Trang","Cash","Mobile App",2.46,9.2,"Night","Weekend","None",0,"High","Rain"
386000,"Frequent User",19,"GrabFood","Ho Chi Minh City","Cash","Mobile App",2.69,11.4,"Early Morning","Weekday","None",0,"Medium","Cloudy"
371000,"Working Professional",40,"GrabFood","Can Tho","Card","Mobile App",3.65,23.4,"Evening","Weekday","None",0,"Severe","Clear"
186000,"Tourist",47,"GrabMart","Nha Trang","Corporate Account","Mobile App",5.26,32.6,"Evening","Weekday","WEEKEND",11000,"High","Cloudy"
208000,"Frequent User",55,"GrabMart","Hue","Card","Mobile App",2.53,13.3,"Evening","Weekday","None",0,"High","Clear"
437000,"Tourist",20,"GrabFood","Hue","Card","Partner App",14.02,35.8,"Evening","Weekday","None",0,"Low","Clear"
385000,"Corporate",53,"GrabMart","Ho Chi Minh City","Card","Mobile App",2.75,10.2,"Morning","Weekend","WELCOME",4000,"High","Cloudy"
151000,"Family",37,"GrabFood","Nha Trang","Card","Mobile App",3.12,7.7,"Early Morning","Weekend","None",0,"Medium","Cloudy"
397000,"Student",62,"GrabFood","Hanoi","Moca Wallet","Mobile App",4.02,19.4,"Morning","Weekday","WELCOME",8000,"Medium","Cloudy"
59000,"Student",30,"GrabFood","Hai Phong","Cash","Mobile App",5.13,30.3,"Early Morning","Weekday","FOOD20",7000,"High","Rain"
3e+05,"Corporate",30,"GrabFood","Ho Chi Minh City","Moca Wallet","Mobile App",1.42,7.8,"Afternoon","Weekday","None",0,"High","Cloudy"
372000,"Working Professional",49,"GrabFood","Ho Chi Minh City","Moca Wallet","Mobile App",0.73,3.6,"Evening","Weekday","None",0,"High","Clear"
423000,"Student",44,"GrabFood","Hanoi","Moca Wallet","Mobile App",0.67,4,"Afternoon","Weekend","RIDE10",3000,"High","Clear"
243000,"Working Professional",39,"GrabFood","Ho Chi Minh City","Card","Web Booking",2.25,7.2,"Night","Weekend","RIDE10",5000,"Medium","Clear"
210000,"Working Professional",29,"GrabMart","Ho Chi Minh City","Card","Mobile App",5.09,20.1,"Early Morning","Weekday","WELCOME",2000,"High","Clear"
417000,"Family",27,"GrabFood","Hanoi","Corporate Account","Mobile App",1.65,5,"Lunch","Weekday","None",0,"High","Cloudy"
110000,"Frequent User",43,"GrabFood","Ho Chi Minh City","Cash","Mobile App",2.37,11.9,"Evening","Weekday","WELCOME",2000,"Medium","Clear"
154000,"Frequent User",52,"GrabFood","Hanoi","Corporate Account","Mobile App",2.31,10.8,"Early Morning","Weekday","WELCOME",3000,"Low","Clear"
433000,"Student",32,"GrabFood","Ho Chi Minh City","Card","Mobile App",3.97,19.8,"Morning","Weekday","None",0,"Medium","Rain"
